ip,ip6,mac,ihostname,hostname,domain,fqdn,vrole,vrole_info,vtype,vcpu,memtotal,storage,distro,distro_release,arch,notes
172.17.0.3,null,02:42:ac:11:00:03,ansible,4ee4710c511d,,4ee4710c511d,guest,container docker,docker,8,7840,null,Alpine,NA,x86_64,null
192.168.1.2,2001:818:db61:6400:0:ff:fe00:2,02:00:00:00:00:02,pihole01,pihole01,local,pihole01.local,guest,lxc container,lxc,8,256,local-lvm,Debian,bookworm,x86_64,null
192.168.1.3,2001:818:db61:6400:0:ff:fe00:3,02:00:00:00:00:03,unbound01,unbound01,local,unbound01.local,guest,lxc container,lxc,8,256,local-lvm,Debian,bookworm,x86_64,Has a cron job every 3mon to udpate upstream regestries
192.168.1.8,null,94:c6:91:a8:a6:ba,pve01,pve01,local,pve01.local,host,kvm,kvm,8,15863,null,Debian,bookworm,x86_64,null
